Length; Algorithm; Container; microseconds
100000; Push Back; vector<int>; 0
100000; Push Back; list<int>; 0
100000; Push Back; deque<int>; 0
100000; Push Back; vector<string>; 9423
100000; Push Back; list<int>; 0
100000; Push Back; deque<string>; 0
200000; Push Back; vector<int>; 0
200000; Push Back; list<int>; 0
200000; Push Back; deque<int>; 0
200000; Push Back; vector<string>; 19840
200000; Push Back; list<int>; 0
200000; Push Back; deque<string>; 0
300000; Push Back; vector<int>; 496
300000; Push Back; list<int>; 0
300000; Push Back; deque<int>; 0
300000; Push Back; vector<string>; 32239
300000; Push Back; list<int>; 0
300000; Push Back; deque<string>; 0
400000; Push Back; vector<int>; 994
400000; Push Back; list<int>; 0
400000; Push Back; deque<int>; 0
400000; Push Back; vector<string>; 40699
400000; Push Back; list<int>; 0
400000; Push Back; deque<string>; 0
500000; Push Back; vector<int>; 497
500000; Push Back; list<int>; 0
500000; Push Back; deque<int>; 0
500000; Push Back; vector<string>; 51088
500000; Push Back; list<int>; 0
500000; Push Back; deque<string>; 0
600000; Push Back; vector<int>; 992
600000; Push Back; list<int>; 0
600000; Push Back; deque<int>; 0
600000; Push Back; vector<string>; 58554
600000; Push Back; list<int>; 0
600000; Push Back; deque<string>; 0
700000; Push Back; vector<int>; 992
700000; Push Back; list<int>; 0
700000; Push Back; deque<int>; 0
700000; Push Back; vector<string>; 70432
700000; Push Back; list<int>; 0
700000; Push Back; deque<string>; 0
800000; Push Back; vector<int>; 992
800000; Push Back; list<int>; 0
800000; Push Back; deque<int>; 0
800000; Push Back; vector<string>; 78863
800000; Push Back; list<int>; 0
800000; Push Back; deque<string>; 0
900000; Push Back; vector<int>; 992
900000; Push Back; list<int>; 0
900000; Push Back; deque<int>; 0
900000; Push Back; vector<string>; 86800
900000; Push Back; list<int>; 0
900000; Push Back; deque<string>; 0
1000000; Push Back; vector<int>; 992
1000000; Push Back; list<int>; 0
1000000; Push Back; deque<int>; 0
1000000; Push Back; vector<string>; 98707
1000000; Push Back; list<int>; 0
1000000; Push Back; deque<string>; 0
